customer_id,segment
AA-10315102,Consumer
AA-10315120,Consumer
AA-10315139,Consumer
AA-103151402,Consumer
AA-103151404,Consumer
AA-103151406,Consumer
AA-1031545,Consumer
AA-1031548,Consumer
AA-1031558,Consumer
AA-103157,Consumer
AA-1031582,Consumer
AA-103751,Consumer
AA-10375101,Consumer
AA-103751402,Consumer
AA-103751404,Consumer
AA-103751406,Consumer
AA-103751408,Consumer
AA-1037545,Consumer
AA-103755,Consumer
AA-1037554,Consumer
AA-1037558,Consumer
AA-1037564,Consumer
AA-103757,Consumer
AA-1037582,Consumer
AA-1037592,Consumer
AA-10480101,Consumer
AA-10480102,Consumer
AA-10480130,Consumer
AA-10480139,Consumer
AA-104801402,Consumer
AA-104801406,Consumer
AA-104801408,Consumer
AA-1048031,Consumer
AA-1048045,Consumer
AA-1048048,Consumer
AA-1048059,Consumer
AA-104807,Consumer
AA-1048082,Consumer
AA-1048096,Consumer
AA-1064511,Consumer
AA-10645139,Consumer
AA-106451402,Consumer
AA-106451404,Consumer
AA-106451406,Consumer
AA-106451408,Consumer
AA-1064518,Consumer
AA-1064531,Consumer
AA-1064536,Consumer
AA-1064545,Consumer
AA-106455,Consumer
AA-1064556,Consumer
AA-1064558,Consumer
AA-1064559,Consumer
AA-1064564,Consumer
AA-106457,Consumer
AA-1064578,Consumer
AA-106458,Consumer
AA-1064582,Consumer
AA-1064593,Consumer
AA-1064598,Consumer
AA-315108,Consumer
AA-31513,Consumer
AA-315134,Consumer
AA-315137,Consumer
AA-31552,Consumer
AA-375103,Consumer
AA-375110,Consumer
AA-375134,Consumer
AA-375146,Consumer
AA-37515,Consumer
AA-37523,Consumer
AA-37569,Consumer
AA-37595,Consumer
AA-480137,Consumer
AA-48023,Consumer
AA-4803,Consumer
AA-4804,Consumer
AA-48075,Consumer
AA-645117,Consumer
AA-645137,Consumer
AA-6453,Consumer
AA-64561,Consumer
AA-64570,Consumer
AA-64574,Consumer
AA-64586,Consumer
AA-64595,Consumer
AB-10015130,Consumer
AB-10015139,Consumer
AB-100151402,Consumer
AB-100151404,Consumer
AB-10015144,Consumer
AB-1001518,Consumer
AB-1001527,Consumer
AB-1001539,Consumer
AB-1001545,Consumer
AB-1001548,Consumer
AB-100155,Consumer
AB-1001551,Consumer
AB-1001558,Consumer
AB-1001559,Consumer
AB-1001564,Consumer
AB-100157,Consumer
AB-1001582,Consumer
AB-1001591,Consumer
AB-1001593,Consumer
AB-10060102,Self-Employed
AB-10060107,Self-Employed
AB-10060113,Self-Employed
AB-10060117,Self-Employed
AB-10060134,Self-Employed
AB-10060139,Self-Employed
AB-100601402,Self-Employed
AB-100601404,Self-Employed
AB-100601406,Self-Employed
AB-100601408,Self-Employed
AB-10060147,Self-Employed
AB-1006027,Self-Employed
AB-1006028,Self-Employed
AB-1006036,Self-Employed
AB-1006039,Self-Employed
AB-1006045,Self-Employed
AB-100605,Self-Employed
AB-1006051,Self-Employed
AB-1006055,Self-Employed
AB-1006059,Self-Employed
AB-1006061,Self-Employed
AB-100607,Self-Employed
AB-1006075,Self-Employed
AB-1006082,Self-Employed
AB-1006086,Self-Employed
AB-1006091,Self-Employed
AB-1006092,Self-Employed
AB-1006096,Self-Employed
AB-1006098,Self-Employed
AB-10105101,Consumer
AB-10105120,Consumer
AB-101051402,Consumer
AB-101051404,Consumer
AB-101051406,Consumer
AB-101051408,Consumer
AB-1010518,Consumer
AB-1010528,Consumer
AB-1010545,Consumer
AB-1010548,Consumer
AB-101055,Consumer
AB-1010555,Consumer
AB-1010558,Consumer
AB-1010562,Consumer
AB-1010564,Consumer
AB-101057,Consumer
AB-1010582,Consumer
AB-10150118,Consumer
AB-10150120,Consumer
AB-10150139,Consumer
AB-101501402,Consumer
AB-101501406,Consumer
AB-10150143,Consumer
AB-1015027,Consumer
AB-1015036,Consumer
AB-1015039,Consumer
AB-1015045,Consumer
AB-1015055,Consumer
AB-101507,Consumer
AB-1015082,Consumer
AB-1015093,Consumer
AB-10165113,Consumer
AB-10165139,Consumer
AB-101651402,Consumer
AB-101651404,Consumer
AB-101651406,Consumer
AB-101651408,Consumer
AB-1016531,Consumer
AB-1016545,Consumer
AB-1016548,Consumer
AB-1016551,Consumer
AB-1016558,Consumer
AB-101657,Consumer
AB-1016582,Consumer
AB-10255139,Self-Employed
AB-102551402,Self-Employed
AB-102551404,Self-Employed
AB-102551406,Self-Employed
AB-102551408,Self-Employed
AB-10255144,Self-Employed
AB-1025518,Self-Employed
AB-1025527,Self-Employed
AB-1025531,Self-Employed
AB-1025536,Self-Employed
AB-1025545,Self-Employed
AB-1025548,Self-Employed
AB-1025558,Self-Employed
AB-1025564,Self-Employed
AB-102557,Self-Employed
AB-1025582,Self-Employed
AB-1025598,Self-Employed
AB-105134,Consumer
AB-105137,Consumer
AB-10523,Consumer
AB-10532,Consumer
AB-10533,Consumer
AB-10549,Consumer
AB-10600104,Corporate
AB-10600130,Corporate
AB-106001402,Corporate
AB-106001404,Corporate
AB-106001408,Corporate
AB-1060021,Corporate
AB-1060027,Corporate
AB-1060028,Corporate
AB-1060045,Corporate
AB-1060048,Corporate
AB-1060051,Corporate
AB-1060058,Corporate
AB-1060059,Corporate
AB-1060064,Corporate
AB-106007,Corporate
AB-1060082,Corporate
AB-1060091,Corporate
AB-1060097,Corporate
AB-150134,Consumer
AB-150137,Consumer
AB-15060,Consumer
AB-15137,Consumer
AB-15146,Consumer
AB-1522,Consumer
AB-1560,Consumer
AB-165103,Consumer
AB-165134,Consumer
AB-16523,Consumer
AB-16594,Consumer
AB-255117,Self-Employed
AB-255134,Self-Employed
AB-25523,Self-Employed
AB-25533,Self-Employed
AB-25549,Self-Employed
AB-25560,Self-Employed
AB-25586,Self-Employed
AB-600103,Corporate
AB-600131,Corporate
AB-60042,Corporate
AB-60086,Corporate
AC-10420102,Corporate
AC-10420120,Corporate
AC-10420130,Corporate
AC-10420139,Corporate
AC-104201402,Corporate
AC-104201404,Corporate
AC-104201406,Corporate
AC-1042018,Corporate
AC-1042027,Corporate
AC-1042031,Corporate
AC-1042039,Corporate
AC-1042045,Corporate
AC-1042048,Corporate
AC-104207,Corporate
AC-1042082,Corporate
