product_id,product,subcategory,category,retail_price
1,Acqua di Parma Blu Mediterraneo Arancia di Capri Bath & Shower Gel,"bath oils, bubbles and soaks",Body care,5.0
2,Aesop Geranium Leaf Hydrating Body Treatment,"bath oils, bubbles and soaks",Body care,8.0
3,Aesop Petitgrain Reviving Body Gel,"bath oils, bubbles and soaks",Body care,7.0
4,Aesop Rind Concentrate Body Balm,"bath oils, bubbles and soaks",Body care,7.0
5,Ahava Dead Sea Mineral Bath Salts,body moisturizers,Body care,3.0
6,Ahava Dead Sea Osmoter™ Concentrate Even Tone Serum,body moisturizers,Body care,5.0
7,Ahava Mineral Bath Salts,Body soaps and washes,Body care,18.0
8,Ahava Mineral Shower Gel,"bath oils, bubbles and soaks",Body care,4.0
9,Amethyst Blaze Bracelet,face moisturizing products,Face care,161.0
10,Amethyst Bliss Bracelet,face masks and exfoliators,Body care,165.0
11,Amethyst Blossom Earrings,face masks and exfoliators,Body care,42.0
12,Amethyst Crown Earrings,hand creams,Body care,27.0
13,Amethyst Echo Earrings,face masks and exfoliators,Body care,182.0
14,Amethyst Feather Necklace,face moisturizing products,Face care,198.0
15,Amethyst Glimmer Anklet,"bath oils, bubbles and soaks",Body care,37.0
16,Amethyst Horizon Pendant,hand creams,Body care,54.0
17,Amethyst Horizon Ring,hand creams,Body care,106.0
18,Amethyst Mirage Pendant,Body soaps and washes,Body care,28.0
19,Amethyst Solstice Ring,face masks and exfoliators,Body care,72.0
20,Amethyst Starburst Bracelet,hair colors and toners,Hair care,140.0
21,Amethyst Veil Anklet,Nail care products,Body care,26.0
22,Amethyst Wave Anklet,Body soaps and washes,Body care,34.0
23,Amethyst Whisper Bracelet,body moisturizers,Body care,182.0
24,Anastasia Beverly Hills Brow Definer Auburn,"bath oils, bubbles and soaks",Body care,7.0
25,Anastasia Beverly Hills Brow Definer Chocolate,body moisturizers,Body care,17.0
26,Anastasia Beverly Hills Brow Definer Dark Brown,"bath oils, bubbles and soaks",Body care,15.0
27,Anastasia Beverly Hills Brow Definer Granite,"bath oils, bubbles and soaks",Body care,18.0
28,Anastasia Beverly Hills Brow Definer Soft Brown,"bath oils, bubbles and soaks",Body care,12.0
29,Anastasia Beverly Hills Brow Wiz Caramel,"bath oils, bubbles and soaks",Body care,18.0
30,Anastasia Beverly Hills Brow Wiz Ebony,"bath oils, bubbles and soaks",Body care,8.0
31,Anastasia Beverly Hills Brow Wiz Medium Brown,hair colors and toners,Hair care,9.0
32,Anastasia Beverly Hills Brow Wiz Soft Brown,face masks and exfoliators,Body care,13.0
33,Anastasia Beverly Hills Brow Wiz Taupe,hand creams,Body care,11.0
34,Anastasia Beverly Hills Modern Renaissance Eyeshadow Palette Buon Fresco,"bath oils, bubbles and soaks",Body care,9.0
35,Anastasia Beverly Hills Modern Renaissance Eyeshadow Palette Burnt Orange,hand creams,Body care,17.0
36,Anastasia Beverly Hills Modern Renaissance Eyeshadow Palette Cyprus Umber,body moisturizers,Body care,11.0
37,Anastasia Beverly Hills Modern Renaissance Eyeshadow Palette Love Letter,brushes and applicators,Home and Accessories,11.0
38,Anastasia Beverly Hills Modern Renaissance Eyeshadow Palette Primavera Shimmer Gold,"bath oils, bubbles and soaks",Body care,9.0
39,Anastasia Beverly Hills Modern Renaissance Eyeshadow Palette Realgar Burnt Orange,"bath oils, bubbles and soaks",Body care,6.0
40,Anastasia Beverly Hills Modern Renaissance Eyeshadow Palette Red Ochre,face masks and exfoliators,Body care,20.0
41,Anastasia Beverly Hills Modern Renaissance Eyeshadow Palette Venetian Red,"bath oils, bubbles and soaks",Body care,7.0
42,Anastasia Beverly Hills Modern Renaissance Eyeshadow Palette Vermeer Iridescent Pink,Nail care products,Body care,6.0
43,Anastasia Beverly Hills Modern Renaissance Eyeshadow Palette Warm Taupe,"bath oils, bubbles and soaks",Body care,15.0
44,Anastasia Beverly Hills Norvina Eyeshadow Palette Base Cream Matte,body moisturizers,Body care,17.0
45,Anastasia Beverly Hills Norvina Eyeshadow Palette Celestial Purple with Blue Shift,face moisturizing products,Face care,13.0
46,Anastasia Beverly Hills Norvina Eyeshadow Palette Drama Deep Plum,"bath oils, bubbles and soaks",Body care,18.0
47,Anastasia Beverly Hills Norvina Eyeshadow Palette Dreamer Metallic Champagne,body moisturizers,Body care,7.0
48,Anastasia Beverly Hills Norvina Eyeshadow Palette Eccentric Warm Ochre,body moisturizers,Body care,11.0
49,Anastasia Beverly Hills Norvina Eyeshadow Palette Incense Cool Brown Matte,"bath oils, bubbles and soaks",Body care,7.0
50,Anastasia Beverly Hills Norvina Eyeshadow Palette Passion Red Brown Matte,"bath oils, bubbles and soaks",Body care,16.0
51,Anastasia Beverly Hills Norvina Eyeshadow Palette Rose Gold,vitamins and supplements,Body care,6.0
52,Anastasia Beverly Hills Norvina Eyeshadow Palette Soul Matte Periwinkle,hair colors and toners,Hair care,9.0
53,Anastasia Beverly Hills Norvina Eyeshadow Palette Wild Child Hot Pink,"bath oils, bubbles and soaks",Body care,18.0
54,Archipelago Cedar Stack Candle,"bath oils, bubbles and soaks",Body care,11.0
55,Archipelago Feu de Bois Candle,body moisturizers,Body care,16.0
56,Archipelago French Cade Lavender Candle,"bath oils, bubbles and soaks",Body care,15.0
57,Archipelago Geranium Candle,hand creams,Body care,14.0
58,Archipelago Grapefruit Candle,face masks and exfoliators,Body care,14.0
59,Archipelago Lime Basil & Mandarin Diffuser,"bath oils, bubbles and soaks",Body care,9.0
60,Archipelago REPLICA Lazy Sunday Morning Candle,"bath oils, bubbles and soaks",Body care,17.0
61,Archipelago Smell of Spring Spray,body moisturizers,Body care,8.0
62,Archipelago Volcano Candle,"bath oils, bubbles and soaks",Body care,13.0
63,Argan Oil of Morocco Conditioner,face masks and exfoliators,Body care,29.0
64,Argan Oil of Morocco Shampoo,"bath oils, bubbles and soaks",Body care,12.0
65,Aromatherapy Associates De-Stress Mind Bath & Shower Oil,"bath oils, bubbles and soaks",Body care,11.0
66,Aromatherapy Associates Deep Relax Bath Oil,body moisturizers,Body care,5.0
67,Aromatherapy Associates Light Relax Bath & Shower Oil,hand creams,Body care,7.0
68,Aromatherapy Associates Renewing Rose Body Cream,"bath oils, bubbles and soaks",Body care,4.0
69,Aromatherapy Associates Revive Evening Bath & Shower Oil,body moisturizers,Body care,18.0
70,Aromatherapy Associates Support Breathe Bath & Shower Oil,"bath oils, bubbles and soaks",Body care,7.0
71,Aromatherapy Associates Support Equilibrium Bath & Shower Oil,Body soaps and washes,Body care,3.0
72,Aromatique Black Forest Candle,"bath oils, bubbles and soaks",Body care,3.0
73,Aromatique Eucalyptus Spearmint Candle,body moisturizers,Body care,15.0
74,Aromatique French Cade Lavender Candle,body moisturizers,Body care,13.0
75,Aromatique Geranium Candle,"bath oils, bubbles and soaks",Body care,15.0
76,Aromatique Mediterranean Fig Candle,body moisturizers,Body care,3.0
77,Aromatique REPLICA Lazy Sunday Morning Candle,"bath oils, bubbles and soaks",Body care,11.0
78,Aromatique Russian Leather Candle,"bath oils, bubbles and soaks",Body care,4.0
79,Aromatique Smell of Spring Spray,body moisturizers,Body care,10.0
80,Aveda Beautifying Composition Oil,"bath oils, bubbles and soaks",Body care,3.0
81,Aveda Invati Advanced Exfoliating Shampoo,"bath oils, bubbles and soaks",Body care,11.0
82,Aveda Rosemary Mint Composition Oil,"bath oils, bubbles and soaks",Body care,8.0
83,Aveda Shampure Composition Oil,"bath oils, bubbles and soaks",Body care,3.0
84,Aveda Stress-Fix Bath Soak,"bath oils, bubbles and soaks",Body care,13.0
85,Aveda Stress-Fix Soaking Salts,body moisturizers,Body care,6.0
86,Aveeno Absolutely Ageless Daily Moisturizer SPF 30,"bath oils, bubbles and soaks",Body care,39.0
87,Aveeno Absolutely Ageless Intensive Renewal Night Cream,body moisturizers,Body care,33.0
88,Aveeno Absolutely Ageless Intensive Renewal Serum,Nail care products,Body care,48.0
89,Aveeno Absolutely Ageless Pre-Tox Peel Off Mask,"bath oils, bubbles and soaks",Body care,28.0
90,Aveeno Absolutely Ageless Restorative Night Cream,body moisturizers,Body care,23.0
91,Aveeno Active Naturals Hand Cream,"bath oils, bubbles and soaks",Body care,7.0
92,Aveeno Baby Calming Comfort Lotion,"bath oils, bubbles and soaks",Body care,11.0
93,Aveeno Baby Cleansing Therapy Moisturizing Wash,hair colors and toners,Hair care,14.0
94,Aveeno Baby Continuous Protection Sensitive Skin Sunscreen SPF 50,hand creams,Body care,27.0
95,Aveeno Baby Daily Moisture Lotion,"bath oils, bubbles and soaks",Body care,28.0
96,Aveeno Baby Gentle Wash & Shampoo,Accessories,Home and Accessories,9.0
97,Aveeno Baby Soothing Relief Moisturizing Cream,Body soaps and washes,Body care,20.0
98,Aveeno Calm + Restore Oat Gel Moisturizer,"bath oils, bubbles and soaks",Body care,33.0
99,Aveeno Clear Complexion BB Cream,"bath oils, bubbles and soaks",Body care,26.0
100,Aveeno Clear Complexion Daily Moisturizer,"bath oils, bubbles and soaks",Body care,47.0
101,Aveeno Daily Moisturizing Body Wash,Body soaps and washes,Body care,8.0
102,Aveeno Daily Moisturizing Hand Cream,Nail care products,Body care,21.0
103,Aveeno Daily Moisturizing Hand Cream with Oat,"bath oils, bubbles and soaks",Body care,13.0
104,Aveeno Daily Moisturizing Lotion,"bath oils, bubbles and soaks",Body care,22.0
105,Aveeno Daily Moisturizing Yogurt Body Cream,"bath oils, bubbles and soaks",Body care,34.0
106,Aveeno Daily Moisturizing Yogurt Body Wash,body moisturizers,Body care,6.0
107,Aveeno Dermexa Fast & Long-Lasting Balm,"bath oils, bubbles and soaks",Body care,19.0
108,Aveeno Eczema Therapy Daily Moisturizing Cream,body moisturizers,Body care,19.0
109,Aveeno Eczema Therapy Hand Cream,body moisturizers,Body care,37.0
110,Aveeno MaxGlow Infusion Drops,body moisturizers,Body care,30.0
111,Aveeno Positively Ageless Restructuring Treatment Cream,body moisturizers,Body care,34.0
112,Aveeno Positively Mineral Sensitive Skin Sunscreen SPF 50,"bath oils, bubbles and soaks",Body care,41.0
113,Aveeno Positively Nourishing Hydrating Body Wash,"bath oils, bubbles and soaks",Body care,5.0
114,Aveeno Positively Radiant Body Lotion,body moisturizers,Body care,34.0
115,Aveeno Positively Radiant CC Cream SPF 30,"bath oils, bubbles and soaks",Body care,10.0
116,Aveeno Positively Radiant Daily Moisturizer SPF 30,"bath oils, bubbles and soaks",Body care,50.0
117,Aveeno Positively Radiant Exfoliating Body Wash,body moisturizers,Body care,8.0
118,Aveeno Positively Radiant Hand Cream,hand creams,Body care,7.0
119,Aveeno Positively Radiant Intensive Night Cream,body moisturizers,Body care,47.0
120,Aveeno Positively Radiant MaxGlow Infusion Drops,body moisturizers,Body care,12.0
121,Aveeno Positively Radiant Overnight Hydrating Facial Moisturizer,hand creams,Body care,19.0
122,Aveeno Positively Radiant Sheer Daily Moisturizer SPF 30,face masks and exfoliators,Body care,10.0
123,Aveeno Positively Radiant Skin Brightening Daily Scrub,face masks and exfoliators,Body care,9.0
124,Aveeno Positively Radiant Targeted Tone Corrector,body moisturizers,Body care,46.0
125,Aveeno Pure Renewal Gentle Conditioner,"bath oils, bubbles and soaks",Body care,24.0
126,Aveeno Sheer Hydration Daily Moisturizing Lotion,"bath oils, bubbles and soaks",Body care,17.0
127,Aveeno Skin Relief 24Hr Moisturizing Lotion,body moisturizers,Body care,10.0
128,Aveeno Skin Relief Body Wash,body moisturizers,Body care,11.0
129,Aveeno Skin Relief Fragrance-Free Body Wash,"bath oils, bubbles and soaks",Body care,4.0
130,Aveeno Skin Relief Hand Cream,"bath oils, bubbles and soaks",Body care,35.0
131,Aveeno Skin Relief Healing Ointment,"bath oils, bubbles and soaks",Body care,13.0
132,Aveeno Skin Relief Moisturizing Hand Cream,hand creams,Body care,10.0
133,Aveeno Skin Relief Moisturizing Lotion,body moisturizers,Body care,30.0
134,Aveeno Smart Essentials Daily Nourishing Moisturizer SPF 30,body moisturizers,Body care,45.0
135,Aveeno Smart Essentials Nighttime Moisture Infusion,vitamins and supplements,Body care,34.0
136,Aveeno Soothing Bath Treatment,"bath oils, bubbles and soaks",Body care,10.0
137,Aveeno Stress Relief Body Wash,hand creams,Body care,7.0
138,Aveeno Stress Relief Moisturizing Lotion,face masks and exfoliators,Body care,21.0
139,Aveeno Ultra-Calming Daily Moisturizer SPF 15,"bath oils, bubbles and soaks",Body care,36.0
140,Aveeno Ultra-Calming Daily Moisturizer SPF 30,body moisturizers,Body care,17.0
141,Aveeno Ultra-Calming Foaming Cleanser,hand creams,Body care,43.0
142,Aveeno Ultra-Calming Hydrating Gel Cleanser,Body soaps and washes,Body care,13.0
143,Aveeno Ultra-Calming Makeup Removing Wipes,body moisturizers,Body care,42.0
144,Aveeno Ultra-Calming Nourishing Night Cream,"bath oils, bubbles and soaks",Body care,22.0
145,Aztec Secret Indian Healing Clay,body moisturizers,Body care,18.0
146,Bamford B Silent Night-Time Bath Concentrate,"bath oils, bubbles and soaks",Body care,6.0
147,Bamford Baby Bath & Massage Oil,body moisturizers,Body care,18.0
148,Bamford Botanic Bath Salts,Body soaps and washes,Body care,7.0
149,Bamford Geranium Bath Oil,"bath oils, bubbles and soaks",Body care,18.0
150,Bamford Organic Geranium Bath Oil,Nail care products,Body care,10.0
151,Bamford Rose Bath Oil,body moisturizers,Body care,16.0
152,BareMinerals Angled Blush Brush,Body soaps and washes,Body care,5.0
153,BareMinerals Angled Face Brush,body moisturizers,Body care,9.0
154,BareMinerals Beautiful Finish Brush,body moisturizers,Body care,5.0
155,BareMinerals Blooming Blush Brush,Body soaps and washes,Body care,8.0
156,BareMinerals Core Coverage Brush,"bath oils, bubbles and soaks",Body care,6.0
157,BareMinerals Diffused Highlight Brush,"bath oils, bubbles and soaks",Body care,4.0
158,BareMinerals Dual Finish Blush & Contour Brush,"bath oils, bubbles and soaks",Body care,3.0
159,BareMinerals Expert Shadow & Liner Brush,Nail care products,Body care,8.0
160,BareMinerals Flawless Application Face Brush,"bath oils, bubbles and soaks",Body care,2.0
161,BareMinerals Full Coverage Kabuki Brush,"bath oils, bubbles and soaks",Body care,7.0
162,BareMinerals Full Flawless Face Brush,face masks and exfoliators,Body care,8.0
163,BareMinerals Maximum Coverage Concealer Brush,body moisturizers,Body care,6.0
164,BareMinerals Perfecting Face Brush,"bath oils, bubbles and soaks",Body care,3.0
165,BareMinerals Precision Face Brush,body moisturizers,Body care,2.0
166,BareMinerals Quick Change Brush Cleaner,hand creams,Body care,9.0
167,BareMinerals Seamless Buffing Brush,Body soaps and washes,Body care,4.0
168,BareMinerals Shade & Diffuse Eye Brush,"bath oils, bubbles and soaks",Body care,5.0
169,BareMinerals Smoothing Face Brush,"bath oils, bubbles and soaks",Body care,7.0
170,BareMinerals Tapered Face Brush,Nail care products,Body care,8.0
171,Bath & Body Works Feu de Bois Candle,"bath oils, bubbles and soaks",Body care,12.0
172,Bath & Body Works Garden Mint Candle,"bath oils, bubbles and soaks",Body care,6.0
173,Bath & Body Works Grapefruit Candle,"bath oils, bubbles and soaks",Body care,11.0
174,Bath & Body Works Mediterranean Fig Candle,body moisturizers,Body care,8.0
