order_id,order_date,customer_id,product_id,location_id,quantity,sales,discount,profit
IZ-2012-LW699061-40911,2020-01-03,LW-699061,3101,1265,20,600,0.0,300.0
US-2012-BT1130518-40912,2020-01-04,BT-1130518,1877,2612,2,40,0.6,-4.0
MX-2012-AW1093031-40912,2020-01-04,AW-1093031,273,18,1,151,0.0,75.5
MX-2012-BT1130531-40912,2020-01-04,BT-1130531,2041,2302,4,40,0.0,20.0
IN-2012-KM1666027-40914,2020-01-06,KM-1666027,2478,2164,1,11,0.0,5.5
HU-2012-ER385557-40918,2020-01-10,ER-385557,2727,2365,8,352,0.0,176.0
ID-2012-TN2104092-40919,2020-01-11,TN-2104092,305,1018,2,36,0.4,3.6
MX-2012-TB2105582-40922,2020-01-14,TB-2105582,3187,2055,4,52,0.0,26.0
CA-2012-CS12250140-40922,2020-01-14,CS-122501408,1914,366,14,224,0.0,112.0
ES-2012-AB1060064-40927,2020-01-19,AB-1060064,1465,2403,16,192,0.0,96.0
CA-2012-TS21340140-40928,2020-01-20,TS-213401404,3148,1684,5,305,0.2,91.5
MG-2012-SH997584-40929,2020-01-21,SH-997584,1697,2000,17,782,0.0,391.0
IN-2012-JM1558092-40932,2020-01-24,JM-1558092,2444,1297,14,672,0.0,336.0
MX-2012-BP1109582-40933,2020-01-25,BP-1109582,1527,1156,9,216,0.0,108.0
ES-2012-HG1502545-40934,2020-01-26,HG-1502545,2316,2560,3,63,0.5,0.0
ID-2012-DB1336059-40935,2020-01-27,DB-1336059,2529,2152,3,48,0.47,1.44
IN-2012-PO1886527-40935,2020-01-27,PO-1886527,3149,200,2,26,0.0,13.0
ID-2012-MP1796559-40936,2020-01-28,MP-1796559,1228,639,11,275,0.47,8.25
NI-2012-DP316595-40938,2020-01-30,DP-316595,2794,1068,1,14,0.7,-2.8
MO-2012-BD177086-40939,2020-01-31,BD-177086,771,1553,1,28,0.0,14.0
ES-2012-GH1448545-40940,2020-02-01,GH-1448545,1156,3134,12,36,0.0,18.0
ES-2012-NG1835591-40948,2020-02-09,NG-1835591,3005,2028,6,42,0.5,0.0
